Name,Latin Name,Appearance,Light Microscope Image,Light Microscope Description,Scanning Electron Microscope Image
Japanese knotweed,Fallopia japonica,img/Japaneseknotweed.jpg,img/JapaneseknotweedLM.jpg,,
Ground elder,Aegopodium podagraria,img/Groundelder.jpg,,,img/GroundelderSEM.jpg
Enchanter's nightshade,Circaea lutetiana,img/EnchanterNightshade.jpg,,,img/EnchanterNightshadeSEM.jpg
Fireweed,Epilobium angustifolium,img/Fireweed.jpg,img/FireweedLM.jpg,,img/FireweedSEM.jpg
Horsetail,Equisetum arvense,img/Horsetail.jpg,img/HorsetailLM.jpg,,
Broad-leaved dock,Rumex obtusifolius,img/Broad-leaveddock.jpg,img/Broad-leaveddockLM.jpg,,
Curled dock,Rumex crispus,img/Curleddock.jpg,,,img/CurleddockSEM.jpg
Birch tree,Betula,img/Birchtree.jpg,,,img/BirchtreeSEM.jpg
Lesser Celandine,Ficaria verna,img/LesserCelandine.jpg,,,img/LesserCelandineSEM.jpg
Sycamore maple,Acer pseudoplatanus,img/Sycamoremaple.jpg,img/SycamoremapleLM.jpg,,img/SycamoremapleSEM.jpg
Teasel,Dipsacus fullonum,img/Teasel.jpg,,,img/TeaselSEM.jpg
Field poppy,Papaver rhoeas,img/Fieldpoppy.jpg,,,img/FieldpoppySEM.jpg
Corncockle,Agrostemma githago,img/Corncockle.jpg,,,img/CorncockleSEM.jpg
Ramsons,Allium ursinum,img/Ramsons.jpg,,,img/RamsonsSEM.jpg
Crows garlic,Allium vineale,img/Crowsgarlic.jpg,,,img/CrowsgarlicSEM.jpg
Horse chestnut,Aesculus hippocastanum,img/Horsechestnut.jpg,img/HorsechestnutLM.jpg,,img/HorsechestnutSEM.jpg
Cowslip,Primula veris,img/Cowslip.jpg,,,img/CowslipSEM.jpg
Creeping (Slender) speedwell,Veronica filiformis,img/Creeping(Slender)speedwell.jpg,img/Creeping(Slender)speedwellLM.jpg,,
White clover,Trifolium repens,img/Whiteclover.jpg,img/WhitecloverLM.jpg,,img/WhitecloverSEM.jpg
Groundsel,Senecio vulgarism,img/Groundsel.jpg,,,img/GroundselSEM.jpg
Red deadnettle,Lamium purpureum,img/Reddeadnettle.jpg,img/ReddeadnettleLM.jpg,,img/ReddeadnettleSEM.jpg
White dead nettle,Lamium album,img/Whitedeadnettle.jpg,,,img/WhitedeadnettleSEM.jpg
Tufted vetch,Vicia cracca,img/Tuftedvetch.jpg,img/TuftedvetchLM.jpg,,img/TuftedvetchSEM.jpg
Alexander's weed,Smyrnium olusatrum,img/AlexanderWeed.jpg,img/AlexanderWeedLM.jpg,,
Shepherd's Purse,Capsella bursa-pastoris,img/ShepherdPurse.jpg,img/ShepherdPurseLM.jpg,,img/ShepherdPurseSEM.jpg
Hemlock,Conium maculatum,img/Hemlock.jpg,img/HemlockLM.jpg,,
